,Country Name,Country Code,Series Name,2018,2019
152,Argentina,ARG,GDP (current US$),519871519807.795,449663446954.073
776,Australia,AUS,GDP (current US$),1433904348500.12,1392680589329.14
1400,Brazil,BRA,GDP (current US$),1885482534238.33,1839758040765.62
2024,Canada,CAN,GDP (current US$),1716262621082.22,1736425629519.96
2648,China,CHN,GDP (current US$),13894817110036.3,14342902842915.9
3272,France,FRA,GDP (current US$),2787863958885.49,2715518274227.45
3896,Germany,DEU,GDP (current US$),3949548833952.94,3845630030823.52
4520,India,IND,GDP (current US$),2713165057513.35,2875142314811.85
5144,Indonesia,IDN,GDP (current US$),1042240309412.58,1119190780752.8
5768,Italy,ITA,GDP (current US$),2085764300862.27,2001244392041.57
6392,Japan,JPN,GDP (current US$),4954806619995.19,5081769542379.77
7016,Mexico,MEX,GDP (current US$),1220699479845.98,1258286717124.53
7640,"Korea, Rep.",KOR,GDP (current US$),1720578827805.54,1642383217167.26
8264,Russian Federation,RUS,GDP (current US$),1669583089322.96,1699876578871.35
8888,Saudi Arabia,SAU,GDP (current US$),786521831573.333,792966838161.659
9512,Singapore,SGP,GDP (current US$),373217081850.534,372062527488.638
10136,South Africa,ZAF,GDP (current US$),368288939768.322,351431649241.439
10760,Turkey,TUR,GDP (current US$),771350331372.711,754411708202.616
11384,United States,USA,GDP (current US$),20529049174601.5,21374418877706.7
12008,United Kingdom,GBR,GDP (current US$),2860667727551.97,2827113184695.58
12632,European Union,EUU,GDP (current US$),15931983317841.6,15592795166700.2
155,Argentina,ARG,GDP per capita (Current US$),11683.9496216363,10006.1489736082
779,Australia,AUS,GDP per capita (Current US$),57395.9194663167,54907.1019101424
1403,Brazil,BRA,GDP per capita (Current US$),9001.23424863499,8717.18627810819
2027,Canada,CAN,GDP per capita (Current US$),46313.1713712961,46194.7252255167
2651,China,CHN,GDP per capita (Current US$),9976.67682180773,10261.6791283744
3275,France,FRA,GDP per capita (Current US$),41631.0907389044,40493.9285720456
3899,Germany,DEU,GDP per capita (Current US$),47639.0034407122,46258.8782897052
4523,India,IND,GDP per capita (Current US$),2005.86300452403,2104.14590003333
5147,Indonesia,IDN,GDP per capita (Current US$),3893.84642475571,4135.56926281554
5771,Italy,ITA,GDP per capita (Current US$),34520.085162403,33189.5657988542
6395,Japan,JPN,GDP per capita (Current US$),39159.4235633952,40246.8801284164
7019,Mexico,MEX,GDP per capita (Current US$),9673.44367360619,9863.0726988757
7643,"Korea, Rep.",KOR,GDP per capita (Current US$),33340.265151682,31761.9776923447
8267,Russian Federation,RUS,GDP per capita (Current US$),11370.8134559314,11584.9953826104
8891,Saudi Arabia,SAU,GDP per capita (Current US$),23338.9634581127,23139.7986561214
9515,Singapore,SGP,GDP per capita (Current US$),66188.7793961798,65233.2824392302
10139,South Africa,ZAF,GDP per capita (Current US$),6374.02819575944,6001.40081394888
10763,Turkey,TUR,GDP per capita (Current US$),9370.1763549731,9042.49298288882
11387,United States,USA,GDP per capita (Current US$),62840.0202387954,65118.3583328163
12011,United Kingdom,GBR,GDP per capita (Current US$),43043.2278164551,42300.267125825
12635,European Union,EUU,GDP per capita (Current US$),35659.75714691,34843.297471632
